,Country,Year,HOUSE_OVERCROWD,HOUSE_COST_BURDEN,HOUSE_SANITARY_X
372,SVK,2014,28.0640631914139,8.55408385396004,7.480985671
373,SVK,2015,27.662268280983,7.46506452560425,6.523691118
374,SVK,2016,27.3581475019455,,8.037906885
375,SVK,2017,26.4325648546219,,8.266313374
376,SVK,2018,25.7545500993729,8.51190760731697,10.55973023
377,SVK,2019,25.6991326808929,6.20375163853168,13.63037527
378,SVK,2020,22.2856894135475,7.96395167708397,6.847616285
379,SVK,2021,23.2636705040932,11.4356189966202,
380,SVK,2022,22.6535186171532,10.8351938426495,
381,SVN,2010,29.3475091457367,8.41931253671646,3.613257781
382,SVN,2011,13.4613201022148,8.49621742963791,3.480215743
383,SVN,2012,13.4153366088867,7.98619464039803,3.836932406
384,SVN,2013,12.1470995247364,11.6608545184135,3.354514763
385,SVN,2014,11.7046505212784,11.8352115154266,4.006593302
386,SVN,2015,10.9628602862358,11.1780017614365,1.842154935
387,SVN,2016,9.3870721757412,12.493672221899,2.984438278
388,SVN,2017,9.583680331707,9.86890271306038,1.589505561
389,SVN,2018,9.41321328282356,10.0466899573803,1.01083545
390,SVN,2019,8.6800217628479,6.55101984739304,0.626348425
391,SVN,2020,8.60554948449135,7.84047320485115,0.85193757
392,SVN,2021,8.32290351390839,7.65754729509354,
393,SVN,2022,8.49167034029961,6.1287447810173,
394,SWE,2010,12.0303884148598,28.7566661834717,0.0
395,SWE,2011,12.0999552309513,27.0061522722244,0.0
396,SWE,2012,11.8940234184265,17.4725934863091,0.0
397,SWE,2013,13.3909404277802,18.5907304286957,0.0
398,SWE,2014,12.5904351472855,18.0414855480194,0.0
399,SWE,2015,14.6031498908997,22.9340299963951,0.0
400,SWE,2016,15.0855347514153,20.7797214388847,0.0
401,SWE,2017,13.3286729454994,22.9255363345146,0.0
402,SWE,2018,14.502027630806,21.6593652963638,0.0
403,SWE,2019,14.3614172935486,22.1280425786972,0.0
404,SWE,2020,14.3751412630081,21.4781299233437,0.0
405,SWE,2021,15.3188839554787,22.1273630857468,
406,SWE,2022,15.7192453742027,21.8162819743156,
407,TUR,2010,7.85118192434311,24.308155477047,0.0
408,TUR,2011,31.5100193023682,21.6681465506554,23.41398746
409,TUR,2012,30.4899454116821,20.1918721199036,25.18787384
